Género;¿Te identificás como LGBT+ (lesbiana, gay, bisexual, transexual, otra minoría sexual)?;Rango Edad;Discapacidad;Máximo nivel de formación;Carrera;¿En qué tipo de universidad estudiaste tu carrera de grado?;País;Provincia donde trabajas;Trabajo;Rubro de la empresa;Cantidad de Empleados;Origen del capital;¿Cuántas personas integran el área de RRHH?;¿En qué puesto trabajás?;Tipo de contratación;¿Cuál es tu función principal en RRHH?;¿Cuántas personas tenés a cargo? (poné 0 si no tenés gente a cargo?;¿Hace cuántos años trabajas en la empresa donde estás? (0 para menos de un año);¿Cuántos años de experiencia tenés en RRHH?;¿Cuál es tu remuneración BRUTA MENSUAL en tu moneda local? (antes de impuestos y deducciones);¿Qué beneficios tenés?;¿Recibís bonos?;¿Tuviste ajustes por inflación en 2020?;¿Cuál fue el porcentaje de aumento acumulado que tuviste en 2020?;Mes del último ajuste;¿Trabajás en proyectos independientes además de tu empleo?;¿Qué sistema de gestión de RRHH usan en tu empresa?;¿Cómo se llama el área en tu empresa?;¿Se podía tomar mate en las oficinas de tu empresa? (antes del COVID-19);¿Te exigieron saber un idioma extranjero (inglés, portugués, etc.) para entrar a trabajar en tu empresa?;¿Qué porcentaje del tiempo usas el idioma extranjero en tu puesto actual?;¿Cuántos contactos tenés en LinkedIn? (poné 0 si no tenés cuenta de LinkedIn);¿Qué tan satisfecho estás con tu empresa?;¿Estás buscando trabajo?;¿Qué beneficios te gustaría tener?;Definí a RRHH con una sola palabra;¿Cuál es la pregunta más bizarra que te han hecho/has hecho en una entrevista?;¿Estás trabajando desde tu casa?;¿Qué elementos te proveyó la empresa para que puedas trabajar desde tu casa?;¿Cómo valorarías la gestión de tu empresa en este nuevo contexto?;¿Cómo estás registrado/a fiscalmente?;¿Hace cuántos años trabajás como freelance?;¿Dónde trabajás habitualmente? (sin considerar la coyuntura por COVID-19);¿Exportás tus servicios?;Si exportás servicios, ¿a través de qué medios de pago recibís los pagos del exterior?;¿Aceptás pagos en cuotas?;¿Trabajás con otros freelancers de tu mismo rubro?;¿Tu servicio principal está relacionado con búsqueda y selección?;¿Te dedicás principalmente a realizar búsquedas de IT/Tecnología?;¿Trabajás a riesgo?;¿Cuál es el coeficiente que cobrás por tus servicios?;El coeficiente lo calculás sobre:;¿Ofrecés garantía?;¿Cuál es el servicio principal que brindas? (si brindás más de un servicio, elegí el que más ingresos genere);¿Cuál es el valor hora promedio que ofrecés? (moneda local)
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;Entre 51 y 100;Nacional;3;Analista;Full time;Generalista;0;3;5;73600;Medicina prepaga / Plan de salud, Licencias extendidas, Home office;No recibo bono;2 ajustes;15;Octubre;No;No tenemos sistema de gestión;Gestion del Talento;Si, está permitido;No;0%;1000;3;Sí, activamente;Bonos, gimnasio, desayunos, días libres;Empatía;Si pudieses ser un animal, cual sería?;Si;Computadora / Laptop, Silla ergonómica;4;;;;;;;;;;;;;;;
Femenino;Si;Hasta 25;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Transporte (incluyendo aviación civil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Masculino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Medios de comunicación;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;Entre 51 y 100;Nacional;2;Responsable;Full time;Generalista;1;7;4;98948;Medicina prepaga / Plan de salud, Horarios flexibles, Abono de celular, Seguro de vida (adicionales a los de ley), Reintegros en capacitación, Home office;Menos de un sueldo;1 solo;25;Agosto;No;No tenemos sistema de gestión;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Maestría completa;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Jujuy;Relación de Dependencia;Minería (carbón, otra minería);Entre 251 y 500;Multinacional;10;HRBP;Full time;Capacitación y desarrollo;0;2;12;85000;Medicina prepaga / Plan de salud, Gimnasio, Reintegros en capacitación, Comedor / Almuerzos;Un sueldo;1 solo;30;Mayo;No;Nucleus;Desarrollo de Personas;Si, está permitido;No;0%;120;2;Sí, activamente;Horario flexible;;;;;;;;;;;;;;;;;;;;
Masculino;No;Entre 41 y 45;No tengo ninguna discapacidad;Terciario completo;Analista de Sistemas;No estudié en la Universidad;Argentina;Tucumán;Relación de Dependencia;Textiles;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Maestría completa;Psicología;Universidad Privada;Argentina;Chaco;Freelance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Monotributista;8;Casa;No;No exporto;Si, frecuentemente;Si;Si;No;No;100;Remuneración mensual del ingresante;2 meses;;
Femenino;Si;Entre 26 y 30;No tengo ninguna discapacidad;Universitario en curso;Antropología;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Freelance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Soy contractor, pero también estoy registrada como monotributista ;1;Casa;Si;Payoneer;No;Si;Si;Si;No;100;Remuneración mensual del ingresante;3 meses;;
Masculino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario completo;Administración de Empresas;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios financieros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Masculino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Textiles;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Masculino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Neuquén;Relación de Dependencia;Función pública;Entre 501 y 1.000;Nacional;7;Director;Full time;Generalista;7;4;6;60.000;Vacaciones extendidas, Abono de celular;No recibo bono;No tuve ajustes;0;Enero;Si, en proyectos ad honorem;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;0%;2500;2;Sí, activamente;Obra Social, Gimnacio, Vacaciones, Home Working, jornadas reducidas;Pasión ;Cómo te ves de acá a 15 años;Si;Computadora / Laptop;3;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Neuquén;Relación de Dependencia;Función pública;Entre 501 y 1.000;Nacional;6;Director;Full time;Administración de personal;4;3;3;15000;Horarios flexibles;No recibo bono;No tuve ajustes;6;Julio;No;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;10%;;4;No,  pero escucho ofertas;;;;Voy rotando entre la oficina y el trabajo;No me enviaron ni reintegraron nada;3;;;;;;;;;;;;;;;
Masculino;No;Entre 31 y 35;Visual;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;Entre 1.001 y 2.500;Multinacional;25;Analista;Full time;Reclutamiento y selección;0;0;5;70000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Frutas y snacks, Abono de celular, Abono de internet, Reintegros en capacitación, Idiomas, Home office, Comedor / Almuerzos;No recibo bono;3 o más ajustes;26;Septiembre;No;No tenemos sistema de gestión;Employee Experience;Si, está permitido;Si;40%;7000;5;No estoy buscando cambiar;Sueldo dolarizado.;Estratégico.;;Si;Computadora / Laptop, Silla ergonómica, Abono de celular, Abono de internet;5;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Neuquén;Relación de Dependencia;Función pública;Entre 1.001 y 2.500;Nacional;20;Director;Full time;Administración de personal;20;1;3;128.000;Medicina prepaga / Plan de salud;No recibo bono;No tuve ajustes;0;Enero;No;RH Pro;Recursos Humanos;Si, está permitido;No;;500;3;No,  pero escucho ofertas;Horarios flexibles;Personas;;Voy rotando entre la oficina y el trabajo;No me enviaron ni reintegraron nada;2;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Maestría completa;Psicología;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios de consultoría;Hasta 51;Nacional;5;Gerente;Full time;Diseño organizacional;9;15;10;150000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Gimnasio, Frutas y snacks, Abono de celular, Préstamos, Reintegros en capacitación, Home office, Comedor / Almuerzos, Charter / Servicio de transporte;Tres sueldos o más;2 ajustes;60;Enero;No;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;Si;50%;30000;5;No estoy buscando cambiar;;;;Si;Computadora / Laptop, Silla ergonómica;5;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario completo;Psicología;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Hotelería, restauración, turismo;Entre 251 y 500;Nacional;10;Analista;Full time;Reclutamiento y selección;0;1;3;65000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Gimnasio, Frutas y snacks, Abono de celular, Idiomas, Home office, Comedor / Almuerzos, Spotify / Netflix / Servicios de Streaming;No recibo bono;No tuve ajustes;0;Enero;No;RAET;Recursos Humanos;Si, está permitido;No;0%;10000;4;Sí, activamente;Flexibilidad horaria, muchos días de home office, vacaciones extendidas, ingles;Estar;Acá trabajan en serio hasta las 18 hs como parece? nadie viene los fines de semana?;Si;Computadora / Laptop, Silla ergonómica;5;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario abandonado;Psicología;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;Entre 251 y 500;Multinacional;17;Director;Full time;Reclutamiento y selección;7;1.5;14;288.000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Frutas y snacks, Abono de celular, Idiomas, Home office, Comedor / Almuerzos, Spotify / Netflix / Servicios de Streaming;No recibo bono;No tuve ajustes;0;Diciembre;Si, en proyectos ad honorem;Bamboo HR;People Operations;Si, está permitido;Si;80%;15000;4;No,  pero escucho ofertas;Capacitaciones internas y externas;resiliencia;;Si;Computadora / Laptop, Silla ergonómica, Abono de celular, monitor y peripherals;4;;;;;;;;;;;;;;;
Masculino;No;Entre 26 y 30;Visual;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Función pública;Entre 51 y 100;Nacional;4;Responsable;Full time;Administración de personal;50;3;3;35.000;Abono de celular, Seguro de vida (adicionales a los de ley);No recibo bono;2 ajustes;0;Enero;Si, en emprendimiento relacionado con RRHH;Bejerman;Recursos Humanos;Si, está permitido;No;0%;300;4;No,  pero escucho ofertas;Carrera profesional ;Talentos ;Si tenía hijos.;Si;No me enviaron ni reintegraron nada;3;;;;;;;;;;;;;;;
Femenino;Si;Entre 36 y 40;No tengo ninguna discapacidad;Terciario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Otros;Entre 101 y 250;Multinacional;3;Analista;Plazo Fijo;Administración de personal;0;10;12;100000;Medicina prepaga / Plan de salud, Horarios flexibles, Gimnasio, Frutas y snacks, Seguro de vida (adicionales a los de ley), Préstamos, Idiomas;Menos de un sueldo;2 ajustes;35;Julio;No;RH Pro;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Hasta 25;No tengo ninguna discapacidad;Universitario en curso;Psicología;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;Entre 101 y 250;Nacional;5;Analista;Full time;Capacitación y desarrollo;0;2;2;52000;Medicina prepaga / Plan de salud, Frutas y snacks, Idiomas, Home office;No recibo bono;1 solo;30;Abril;No;Bejerman;Recursos Humanos;Si, está permitido;No;10%;5100;4;No estoy buscando cambiar;;;;Si;Computadora / Laptop;3;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Terciario completo;No estudié en la Universidad;No estudié en la Universidad;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;Entre 51 y 100;Nacional;1;Responsable;Full time;Todo;0;1;3;98000;Medicina prepaga / Plan de salud, Tarjeta de descuento, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Gimnasio, Frutas y snacks, Reintegros en capacitación, Idiomas, Home office;Tres sueldos o más;2 ajustes;23;Septiembre;No;No tenemos sistema de gestión;Capital Humano;Si, está permitido;No;10%;3700;4;No,  pero escucho ofertas;;Responsabilidad;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Chaco;Relación de Dependencia;Hotelería, restauración, turismo;Entre 251 y 500;Nacional;5;Jefe;Full time;Generalista;4;3;12;73000;Medicina prepaga / Plan de salud, Abono de celular, Reintegros en capacitación;No recibo bono;No tuve ajustes;0;Enero;Si, en emprendimiento relacionado con RRHH;Microsoft Dynamics;Recursos Humanos;Si, está permitido;No;30%;500;4;No,  pero escucho ofertas;Flexibilidad horaria y bono .;desarrollo;;Si;Computadora / Laptop, Abono de celular;3;;;;;;;;;;;;;;;
Masculino;No;Entre 31 y 35;No tengo ninguna discapacidad;Maestría completa;Contador Público;Universidad Pública;Argentina;San Juan;Relación de Dependencia;Minería (carbón, otra minería);Hasta 51;Nacional;1;Jefe;Full time;Generalista;0;7;7;190000;Medicina prepaga / Plan de salud, Horarios flexibles, Frutas y snacks, Abono de celular, Posgrados, Home office;Dos sueldos;2 ajustes;56;Octubre;Si, en emprendimiento relacionado con RRHH;Tango;Relaciones Laborales;Si, está permitido;No;10%;2400;4;No,  pero escucho ofertas;Ademas de los que ya tengo, Gimnasio, Almuerzo, Vacaciones extendidas;Solucionador;Me han hecho, sabes hacer asados?;Voy rotando entre la oficina y el trabajo;Computadora / Laptop, Kit sanitizante, Abono de celular;3;;;;;;;;;;;;;;;
Masculino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario completo;Psicología;Universidad Privada;Argentina;San Juan;Relación de Dependencia;Agricultura;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;San Juan;Freelance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Monotributista;1;Casa;No;No;No;No;No;;;;;;Capacitación;500
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;Lic en Turismo;Universidad Pública;Argentina;San Juan;Relación de Dependencia;Minería (carbón, otra minería);Entre 101 y 250;Nacional;2;Jefe;Full time;Gestión de expatriados;5;3;8;70800;Medicina prepaga / Plan de salud, Horarios flexibles, Frutas y snacks, Abono de celular, Home office;No recibo bono;1 solo;20;Julio;Si, en emprendimiento no relacionado con RRHH;Tango;Recursos Humanos;Si, está permitido;No;0%;1454;3;Sí, activamente;Horario Flexible. Movilidad. Vacaciones Extendidas;Gestión;;Voy rotando entre la oficina y el trabajo;Computadora / Laptop;4;;;;;;;;;;;;;;;
Masculino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Neuquén;Relación de Dependencia;Función pública;Entre 501 y 1.000;Nacional;7;Director;Full time;Generalista;7;4;6;60.000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Abono de celular, Home office;No recibo bono;No tuve ajustes;0;Enero;Si, en proyectos ad honorem;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;0%;2500;2;Sí, activamente;Flexibles, horarios, home office, Gimnacio, prepaga, ;Pasión;Cómo te ves de acá a 15 años;Si;Computadora / Laptop;3;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;San Juan;Relación de Dependencia;Función pública;Entre 251 y 500;Nacional;6;Administrativo;Full time;Administración de personal;0;3;8;41000;No tengo beneficios adicionales, Charter / Servicio de transporte;No recibo bono;No tuve ajustes;0;Enero;No;No tenemos sistema de gestión;Oficina de Personal;Si, está permitido;No;0%;0;2;No,  pero escucho ofertas;;GESTION;Si pensaba tener hijos en el corto plazo;Si;No me enviaron ni reintegraron nada;2;;;;;;;;;;;;;;;
Femenino;No;Entre 41 y 45;No tengo ninguna discapacidad;Universitario completo;Psicología;Universidad Privada;Argentina;San Juan;Freelance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Monotributista;7;Alquilo oficina (no cowork);No;Transferencia a tu cuenta;Si, eventualmente;Si;No;;;;;;People Analytics;1500
Femenino;No;Entre 41 y 45;No tengo ninguna discapacidad;Universitario completo;Psicología;Universidad Privada;Argentina;San Juan;Freelance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Monotributista;2;Casa;No;No exporto servicios. El sistema no me dejaba avanzar si no respondía algo aquí;Si, frecuentemente;No;Si;No;No;20;Remuneración mensual del ingresante;3 meses;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;San Juan;Relación de Dependencia;Construcción;Hasta 51;Nacional;2;Supervisor;Full time;Generalista;1;2;14;30000;Abono de celular, Préstamos, Combustible, Reintegros en capacitación;Un sueldo;No tuve ajustes;0;;Si, en emprendimiento relacionado con RRHH;Tango;Recursos Humanos;Si, está permitido;No;0%;1000;3;No,  pero escucho ofertas;Mayor sueldo;Intermediario;No recuerdo. Hay muchas;No;No estoy trabajando en home office;3;;;;;;;;;;;;;;;
Femenino;Si;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;Administración de Empresas;Universidad Privada;Argentina;Mendoza;Relación de Dependencia;Agricultura;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Maestría abandonada;Abogacía;Universidad Privada;Argentina;Santa Fe;Relación de Dependencia;Comercio;Entre 101 y 250;Nacional;2;Responsable;Full time;Generalista;0;4;20;40000;No tengo beneficios adicionales, Horarios flexibles;No recibo bono;1 solo;10;Agosto;Si, en emprendimiento relacionado con RRHH;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;0%;12000;3;Sí, activamente;medicina prepaga para la familia, horarios flexible, algo de home office;apasionante;no he tenido estas preguntas;No;No estoy trabajando en home office;2;;;;;;;;;;;;;;;
Masculino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario completo;Psicología;Universidad Pública;Argentina;Córdoba;Relación de Dependencia;Alimentación;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario completo;Psicología;Universidad Pública;Argentina;Tucumán;Relación de Dependencia;Construcción;Entre 101 y 250;Nacional;1;Jefe;Full time;Generalista;0;7;14;100.000;Tarjeta de descuento, Home office;No recibo bono;3 o más ajustes;5;Septiembre;Si, en emprendimiento relacionado con RRHH;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;0%;50;3;Sí, activamente;Respeto;Complejidad;;Voy rotando entre la oficina y el trabajo;Computadora / Laptop;4;;;;;;;;;;;;;;;
